sym,cls,prior,first,t0,pair,short,btc,pl60,pl120,pl180
ACHUSDT,OLD_BN,417,2023-02-22,2023-03-01,0.17624934148361332,-0.028656317058823363,0.2049056585424367,0.16192233016020185,0.1607028257840903,-0.006898395432571092
ACTUSDT,NEW,0,2024-11-11,2024-11-18,0.4937768940127196,0.3294581276945883,0.1643187663181313,0.3826911775690293,0.7536772937632774,0.32484266673341333
ACUUSDT,NEW,0,2026-01-21,2026-01-28,0.23872714502261733,0.48380044531793853,-0.2450733002953212,0.07361398511538056,-0.13464173283643438,-0.5038891804677348
ACXUSDT,OLD_OTHER,738,2024-12-06,2024-12-13,0.39104922417357096,0.4542895389178407,-0.06324031474426973,0.19464762578786368,0.20002405285901642,0.32946356364899526
ADBEUSDT,NEW,0,2026-06-11,2026-06-18,-0.211321214566059,-0.19661858345419647,-0.014702631111862546,0.09914782148790405,,
AERGOUSDT,OLD_BN,498,2024-09-10,2024-09-17,0.04919393090090139,-0.10676906106723584,0.15596299196813723,-0.20927798233358874,0.3533270790391787,-0.13507497211358768
AEROUSDT,OLD_OTHER,253,2024-12-04,2024-12-11,0.33486644404923893,0.3866602515128916,-0.051793807463652614,0.20860867274846057,-0.40591268265808,-0.5085641499286535
AEVOUSDT,NEW,0,2024-03-13,2024-03-20,-0.43111032093561646,-0.54735833,0.11624800906438353,0.5063537704859563,0.3126017887576341,0.1273700781073185
AGIXUSDT,NEW,0,2023-02-16,2023-02-23,-0.06650091123898014,-0.19509203747186799,0.12859112623288785,0.3118257453115474,-0.07122973787840342,0.07186776176805885
AGLDUSDT,OLD_BN,666,2023-07-29,2023-08-05,-0.6075593184236334,-0.49395497,-0.11360434842363344,-0.18283965751948789,-0.3467962832491319,-0.1614470774933277
AGTUSDT,NEW,0,2025-05-20,2025-05-27,0.5451221130620563,0.5682522066016791,-0.023130093539622767,0.13687229049593677,0.28402732930965524,-0.13469228316760443
AI16ZUSDT,NEW,0,2025-01-02,2025-01-09,0.8518147477795558,0.8437631241261995,0.008051623653356307,0.4641323467775277,0.37005790520458115,0.1989213263568358
AIAUSDT,NEW,0,2025-09-18,2025-09-25,-0.4743977802379079,-0.47899545,0.004597669762092073,0.7799540573715075,-0.5726747780089861,-0.6061787728202825
AIGENSYNUSDT,NEW,0,2026-04-29,2026-05-06,-0.4933710852103772,-0.4943343,0.0009632147896228183,-0.5549215850010331,0.017534849013896868,
AINUSDT,NEW,0,2025-07-10,2025-07-17,0.1858760034365805,0.20560883938200455,-0.019732835945424063,-0.4563074602112526,0.31409136746430455,0.06055890437433131
AIOTUSDT,NEW,0,2025-04-30,2025-05-07,0.7815948649132859,0.7395914911969831,0.04200337371630276,-0.39211385441090085,0.2348019300119646,-0.5548880699023039
AIOUSDT,NEW,0,2025-08-13,2025-08-20,-0.498259672216716,-0.48612007999999995,-0.012139592216716077,-0.5366030225985199,-0.5133885821567774,-0.36444020276332334
AIUSDT,NEW,0,2024-01-08,2024-01-15,-0.1675897171380416,-0.34877498265764273,0.18118526551960112,0.3038039428574108,0.03534598883132768,0.29280176917753303
AIXBTUSDT,NEW,0,2024-12-20,2024-12-27,-0.5318302405565165,-0.49839092999999973,-0.03343931055651683,0.3752266133825195,-0.39239264207661584,0.006154370343920135
AKEUSDT,NEW,0,2025-09-26,2025-10-03,-0.48750494642597664,-0.50012738,0.012622433574023376,0.06279243574589961,0.07003568696455159,-0.4640993952594862
AKROUSDT,OLD_BN,79,2021-01-19,2021-01-26,-0.35231062578627936,-0.48417376,0.13186313421372065,0.16005078753641933,0.22563753562453956,-0.24163197769204042
AKTUSDT,OLD_OTHER,1347,2024-11-18,2024-11-25,0.1708233281958506,0.17832659381551366,-0.007503265619663045,0.35503565790705854,0.16058844779120962,0.24314603511817454
