N,n,q,h,all,tune,hold,both
60,30,0.3333333333333333,5,26.195732257326654,39.365092880889804,1.6634035409098358,True
60,30,0.3333333333333333,7,23.36156334696289,34.59389026446162,2.038260567475403,True
60,30,0.3333333333333333,10,16.225422966483283,23.649720838390632,1.5635587286712438,True
60,30,0.3333333333333333,14,11.555706192985715,17.75937630443942,-0.8466654034342658,False
60,30,0.4,3,24.70190198303779,43.6181286489024,-8.314615636714917,False
60,30,0.4,5,28.05530460644725,43.70839779843867,-0.3843774016123791,False
60,30,0.4,7,26.138440858568156,40.838369371370284,-0.781565211333346,False
60,30,0.4,10,17.27911301819278,27.418361227058007,-2.0965278953234967,False
60,30,0.4,14,12.087207438328562,20.419761381561074,-4.117763827950127,False
100,10,0.2,3,9.974657480138639,8.79745646800072,12.582530304707129,True
100,10,0.2,5,9.441221177312475,10.295719073466625,7.603201445638574,True
100,10,0.2,7,7.911936700983668,9.556301706036363,4.415866950777114,True
100,10,0.2,10,6.003807619847801,4.713219832725368,8.869649167350136,True
100,10,0.2,14,6.966872354306886,6.196019277351139,8.664989559326376,True
100,10,0.25,3,6.005886012127526,5.330892410478483,7.4908368183639995,True
100,10,0.25,5,10.324244801869153,12.278259913426236,6.185811059388202,True
100,10,0.25,7,9.659513220186833,12.024672737844156,4.680210480216207,True
100,10,0.25,10,7.524774909008136,7.692084383237496,7.161320750337841,True
100,10,0.25,14,7.289627420799194,7.052547008436538,7.807740172630573,True
100,10,0.3333333333333333,3,4.933959366978025,7.324591387385659,-0.08952205125244417,False
100,10,0.3333333333333333,5,8.154375295289729,11.777397757813123,0.6656149463007299,True
100,10,0.3333333333333333,7,10.588326090729883,12.490607928269949,6.556259294677269,True
100,10,0.3333333333333333,10,8.131979718083947,8.594860632924295,7.1307706013701955,True
100,10,0.3333333333333333,14,10.690625503104645,10.828091604695445,10.391852665802602,True
100,10,0.4,3,5.557318071660311,9.79007232795077,-3.104323334748449,False
100,10,0.4,5,11.981748096948985,17.229852352280673,1.3515258646116246,True
100,10,0.4,7,13.081111816613799,15.916020952635513,7.145071579944928,True
100,10,0.4,10,11.670134693500778,13.655349857382571,7.466053190641109,True
100,10,0.4,14,13.43051014890273,14.835361968120807,10.430318987297849,True
100,15,0.2,3,14.394335861108164,16.806431524760068,9.312423118446933,True
100,15,0.2,5,13.44953670324205,16.572211368603895,6.93562069457383,True
100,15,0.2,7,12.32214032713923,15.118423420862825,6.465403244179746,True
100,15,0.2,10,9.947461425426972,10.854047770124664,7.998742875643683,True
100,15,0.2,14,9.639535077223327,10.299077860653782,8.216850186086777,True
100,15,0.25,3,12.838847541969777,14.171638748170734,9.989990037792772,True
100,15,0.25,5,13.049024442509749,14.922327208253217,9.07447923393272,True
100,15,0.25,7,13.096416874734373,15.676818626577017,7.674451178428532,True
100,15,0.25,10,10.891398976693178,12.58029903938005,7.300599878802094,True
100,15,0.25,14,10.525615395728604,11.388776597172768,8.668966144779677,True
100,15,0.3333333333333333,3,13.93761317021045,18.135837830742197,5.304092436666252,True
100,15,0.3333333333333333,5,15.645726796818927,18.522242946434897,9.620742201931431,True
100,15,0.3333333333333333,7,15.599679320351756,17.645362694371336,11.266997092630104,True
100,15,0.3333333333333333,10,13.89709454598611,14.658549068950233,12.256312296388927,True
100,15,0.3333333333333333,14,12.750781384773457,12.567864733288658,13.150151518551967,True
100,15,0.4,3,11.523316351070068,14.786426487767335,4.73456940025172,True
100,15,0.4,5,15.997664829040747,20.901277601080672,5.996196644954632,True
100,15,0.4,7,17.08479443440183,20.208703301506258,10.559834516414845,True
100,15,0.4,10,15.804641541614007,18.762921212713167,9.614817246072116,True
100,15,0.4,14,13.687544689263675,15.561462962129102,9.711150571128858,True
100,20,0.2,3,11.349835230163908,15.537926063877737,2.7471730099892344,True
100,20,0.2,5,13.36786740385767,17.69220865104506,4.49251910601749,True
100,20,0.2,7,11.88424466697644,15.724977912930393,3.955520310593408,True
100,20,0.2,10,9.236809480863762,11.353570366090327,4.765289367126213,True
100,20,0.2,14,8.380473541432965,9.805047794585686,5.341775055075715,True
100,20,0.25,3,15.946725802624396,20.206134407413057,7.185905448848895,True
100,20,0.25,5,18.597599595178792,24.543899402332837,6.612190095696935,True
100,20,0.25,7,16.18100355404295,20.88110472695661,6.568198853854268,True
100,20,0.25,10,14.31733112841096,17.530713331858074,7.6202203206245045,True
100,20,0.25,14,12.760285714267084,14.323819008301331,9.428941415702031,True
100,20,0.3333333333333333,3,17.64128876346347,24.00057551247039,4.898328647584416,True
100,20,0.3333333333333333,5,23.328951483063953,30.584459181479673,8.893009207064328,True
100,20,0.3333333333333333,7,24.084247358302523,31.65442637298257,9.070751236799147,True
100,20,0.3333333333333333,10,19.80927739322935,25.435470086713497,8.414832235232627,True
100,20,0.3333333333333333,14,14.811490552325113,17.929857277570306,8.302916980737285,True
100,20,0.4,3,16.681091546966798,24.55822488386663,1.207897613210851,True
100,20,0.4,5,21.90893946957346,31.694307193989136,3.0418116672992657,True
100,20,0.4,7,23.408619453977387,31.517895226957073,7.437216489346565,True
100,20,0.4,10,17.23405459256757,22.581840251427376,6.381534647575604,True
100,20,0.4,14,13.106858902871554,15.981627101550377,7.090574951910833,True
100,30,0.2,3,14.097794043446378,19.539430673958424,3.0892609359376433,True
100,30,0.2,5,14.380059915390975,19.722074063891505,3.5569885666133283,True
100,30,0.2,7,12.75644088932899,17.481688373233737,3.113422384276343,True
100,30,0.2,10,9.103849133700015,11.398500555268164,4.268968768250159,True
100,30,0.2,14,6.040319570837571,7.142143867462392,3.6799037615746766,True
100,30,0.25,3,12.511121671194726,20.51853474590084,-3.133796353601226,False
100,30,0.25,5,14.30393494228559,21.232983647349247,0.5540418930596314,True
100,30,0.25,7,12.214203559917225,17.860051314041627,0.8373656369293103,True
100,30,0.25,10,7.783664426918935,10.34206151667776,2.4155781005956056,True
100,30,0.25,14,4.121780871560943,5.128640170621579,1.9623649907283491,True
100,30,0.3333333333333333,3,16.677917987742585,32.120844237231495,-10.991886669170414,False
100,30,0.3333333333333333,5,20.130742720190998,33.421916993733866,-4.410772686186348,False
100,30,0.3333333333333333,7,18.144847588551926,28.146839098543452,-1.0179801206217642,False
100,30,0.3333333333333333,10,12.750394684845535,18.907576527491088,0.42257890091406125,True
100,30,0.3333333333333333,14,8.595615382356225,13.329894622180083,-1.0412086697159317,False
100,30,0.4,3,16.723498814947323,27.275836939228814,-3.3275038443375315,False
100,30,0.4,5,20.126764193991818,29.396381032185715,2.173411498384281,True
100,30,0.4,7,18.380998221119405,28.138510615116562,-0.37380695818055587,False
100,30,0.4,10,11.061745320167748,17.08776058132486,-1.009762188167307,False
100,30,0.4,14,6.353753537450602,11.21031437867368,-3.501189097590951,False
