ts,bar,mkt_ret,eq_A_neutral@1x,eq_A_neutral@3x,eq_B_dispersion@1x,eq_B_dispersion@3x,eq_C_idxhedge@1x,eq_C_idxhedge@3x,eq_D_momsharpe@1x,eq_D_momsharpe@3x,eq_E_mom720@1x,eq_E_mom720@3x
2026-09-12 20:46:07,2026-09-12 19:00,0.00000000,9966.3214,9898.9198,10000.0000,10000.0000,9967.5599,9902.7857,9980.9535,9942.7294,9994.0880,9981.8902
2026-09-12 20:51:16,2026-09-12 19:00,0.00000000,9966.3214,9898.9198,10000.0000,10000.0000,9967.5599,9902.7857,9980.9535,9942.7294,9994.0880,9981.8902
2026-09-12 20:56:26,2026-09-12 19:00,0.00000000,9966.3214,9898.9198,10000.0000,10000.0000,9967.5599,9902.7857,9980.9535,9942.7294,9994.0880,9981.8902
2026-09-12 21:01:35,2026-09-12 20:00,0.00068571,9970.0914,9910.1534,10000.0000,10000.0000,9970.4525,9911.4071,9983.9081,9951.5593,9995.5478,9986.2643
2026-09-12 21:06:46,2026-09-12 20:00,0.00000000,9970.0914,9910.1534,10000.0000,10000.0000,9970.4525,9911.4071,9983.9081,9951.5593,9995.5478,9986.2643
2026-09-12 21:11:55,2026-09-12 20:00,0.00000000,9970.0914,9910.1534,10000.0000,10000.0000,9970.4525,9911.4071,9983.9081,9951.5593,9995.5478,9986.2643
2026-09-12 21:17:04,2026-09-12 20:00,0.00000000,9970.0914,9910.1534,10000.0000,10000.0000,9970.4525,9911.4071,9983.9081,9951.5593,9995.5478,9986.2643
2026-09-12 21:22:13,2026-09-12 20:00,0.00000000,9970.0914,9910.1534,10000.0000,10000.0000,9970.4525,9911.4071,9983.9081,9951.5593,9995.5478,9986.2643
2026-09-12 21:27:21,2026-09-12 20:00,0.00000000,9970.0914,9910.1534,10000.0000,10000.0000,9970.4525,9911.4071,9983.9081,9951.5593,9995.5478,9986.2643
2026-09-12 21:32:31,2026-09-12 20:00,0.00000000,9970.0914,9910.1534,10000.0000,10000.0000,9970.4525,9911.4071,9983.9081,9951.5593,9995.5478,9986.2643
2026-09-12 21:37:41,2026-09-12 20:00,0.00000000,9970.0914,9910.1534,10000.0000,10000.0000,9970.4525,9911.4071,9983.9081,9951.5593,9995.5478,9986.2643
2026-09-12 21:42:50,2026-09-12 20:00,0.00000000,9970.0914,9910.1534,10000.0000,10000.0000,9970.4525,9911.4071,9983.9081,9951.5593,9995.5478,9986.2643
